Rank-Avg	Elev-Avg	Rank-Prov	Elev-Prov	Rank-Opt	Elev-Opt	Name	Quad	Map1	Map2	Map3	Map4	Map5
171	2981	156	2981	177	2999	UP-E Kineo	Mount Kineo	http://listsofjohn.com/peak/100760	https://listsofjohn.com/mapf?lat=43.9195&lon=-71.7567&z=16&t=u&d=y			
172	2980	157	2980	181	2980	Bartlett Haystack	Bartlett	http://listsofjohn.com/peak/100761				
173	2970	160	2960	183	2979	South Crystal Mountain	Mount Pisgah	http://listsofjohn.com/peak/100765				
	2967		2967	185	2967	UP-Stairs E	Stairs Mountain	http://listsofjohn.com/mapf?lat=44.1600&lon=-71.3027				
174	2966	158	2966	182	2979	Howe Peak	Wild River	http://listsofjohn.com/peak/100766	https://listsofjohn.com/mapf?lat=44.3513&lon=-71.0712&z=16&t=u&d=y			
175	2965	159	2965	186	2965	Rogers Ledge	West Milan	http://listsofjohn.com/peak/100767				
	2963		2953	184	2971	UP-Black Crescent S	Mount Crescent	http://listsofjohn.com/mapf?lat=44.4257&lon=-71.2886				
176	2948	161	2948	189	2948	*Perry Pds	Second Connecticut Lake	http://listsofjohn.com/peak/100769				
177	2946	162	2946	190	2946	UP-W Magalloway	Magalloway Mountain	http://listsofjohn.com/mapf?lat=45.0675&lon=-71.1807				
178	2944	163	2944	191	2944	UP-Black NW	Errol	http://listsofjohn.com/peak/100770				
179	2941	164	2941	192	2941	UP-W Baldface	Chatham	http://listsofjohn.com/peak/100771				
180	2940	169	2920	187	2959	Flat Mountain	Mount Tripyramid	http://listsofjohn.com/peak/100772				
181	2940	171	2920	188	2959	Owls Cliff	Bartlett	http://listsofjohn.com/peak/100773				
182	2939	165	2939	193	2939	Eastman Mountain	Chatham	http://listsofjohn.com/peak/100776				
183	2939	166	2939	195	2939	South Doublehead	Jackson	http://listsofjohn.com/peak/100777	https://listsofjohn.com/mapf?lat=44.1608&lon=-71.1307&z=16&t=u&d=y			
184	2937	167	2937	196	2937	Black Mountain	Mount Osceola	http://listsofjohn.com/peak/100778				
185	2930	170	2920	194	2939	"Kearsarge, Mount"	Andover	http://listsofjohn.com/peak/17582				
186	2926	168	2926	197	2926	Greens Cliff	Mount Carrigain	http://listsofjohn.com/peak/100779				
187	2910	173	2900	198	2919	Big Attitash Mountain	North Conway West	http://listsofjohn.com/peak/100780	https://listsofjohn.com/mapf?lat=44.0475&lon=-71.2336&z=16&t=u&d=r	https://listsofjohn.com/mapf?lat=44.0485&lon=-71.2414&z=16&t=u&d=r	https://listsofjohn.com/mapf?lat=44.0442&lon=-71.2445&z=16&t=u&d=r	
188	2910		2900	200	2919	Tumble Dick Mountain	Diamond Pond	http://listsofjohn.com/peak/100781				
189	2909	172	2909	201	2909	"Cube, Mount"	Piermont	http://listsofjohn.com/peak/100782				
190	2900	177	2880	199	2919	Stinson Mountain	Rumney	http://listsofjohn.com/peak/100783				
191	2893	174	2893	202	2893	North Bald Cap	Shelburne	https://listsofjohn.com/peak/100785	 	 		
192	2891	175	2891	203	2891	UP-Pemi Twintop	Crawford Notch	http://listsofjohn.com/peak/100786	https://listsofjohn.com/mapf?lat=44.1353&lon=-71.4837&z=15&t=u&d=r			
193	2889	176	2889	204	2889	UP-Millsfield	Dummer Ponds	http://listsofjohn.com/peak/100789				
194	2878	178	2878	205	2878	"Dustan, Mount"	Umbagog Lake North	https://listsofjohn.com/peak/100791				
195	2865	179	2865	206	2865	"Willard, Mount"	Crawford Notch	http://listsofjohn.com/peak/100792				
196	2850	180	2840	207	2859	UP-Goback E	Stratford	http://listsofjohn.com/mapf?lat=44.7356&lon=-71.5301				
197	2850	181	2840	208	2859	UP-Whitcomb SW	Percy Peaks	http://listsofjohn.com/peak/100793				
198	2830	182	2820	209	2839	Black Mountain	East Haverhill	http://listsofjohn.com/peak/100794				
199	2830	183	2820	210	2839	UP-Moran Notch	Bunnell Mountain	http://listsofjohn.com/mapf?lat=44.7943&lon=-71.4109				
	2808		2808	212	2808	Deer Ridge	West Milan	https://listsofjohn.com/peak/100800				
	2807		2807	213	2807	Loon Mountain-South Peak	Lincoln	https://listsofjohn.com/peak/100801				
	2806		2806	214	2806	UP-N Stinson	Rumney	http://listsofjohn.com/mapf?lat=43.8435&lon=-71.7718				
200	2805	184	2805	215	2805	Pond Hill	Mount Crescent	http://listsofjohn.com/peak/100799				
201	2805	185	2805	211	2819	Middle Moat Mountain	North Conway West	http://listsofjohn.com/peak/100802	https://listsofjohn.com/mapf?lat=44.0229&lon=-71.1992&z=16&t=u&d=r			
202	2792	186	2792	220	2792	UP-Norton Pool	Rump Mountain	https://listsofjohn.com/peak/100806				
203	2790	188	2780	216	2799	Cambridge Black Mountain	Umbagog Lake South	https://listsofjohn.com/peak/100807				
204	2790	189	2780	217	2799	Chase Mountain	Mount Pisgah	http://listsofjohn.com/peak/100808				
205	2790	190	2780	218	2799	UP-Stratford Notch	Stratford	http://listsofjohn.com/mapf?lat=44.7418&lon=-71.5219				
	2782		2782	221	2782	UP-Randolph W	Mount Crescent	http://listsofjohn.com/mapf?lat=44.3828&lon=-71.3379				
206	2782	187	2782	222	2782	Mountain View	Tamworth	http://listsofjohn.com/peak/100811				
207	2780		2760	219	2799	"Wonalancet, Mount"	Mount Tripyramid	http://listsofjohn.com/peak/100813				
	2779		2779	223	2779	UP - Flume East	Mount Osceola	https://listsofjohn.com/mapf?lat=44.1027&lon=-71.6021&z=16&t=u&d=y				
